"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"X","9/RWM:X","[09.312:X]","","","","RWM","EFS Ridge Wavelength Map (XML)","D","AN","1","100000","1","*","","","Data_X","","","","","","9/RWF:X","","","","","","","","","","Y","Peak-to-peak distance between ridges at various sampling points throughout the EFS region of interest. ","The number of occurrences must either be 0 or (9/EHI divided by 9/RWF/FWS). The length of each value must be (2 * 9/EWI divided by 9/RWF/FWS). Valid characters are [0..9][""X""]. ","","biom:MinutiaeRidgeWavelengthMapRowText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeWavelengthMap/biom:MinutiaeRidgeWavelengthMapRowText","The sampling frequency is optionally defined in Field 9.313. For each sampling point in the Region of Interest, distances between ridge peaks, measured perpendicular to ridge flow, shall be reported in 2-character decimal format using units of 10 micrometers (0.01 mm). Unknown values shall be set to ""XX"". Valid values are therefore ""01"" (0.01 mm) through ""99"" (0.99 mm or greater). (In practice, the actual stored values are likely to be ""30"" to ""70"" in most cases (0.3 - 0.7 mm). The 2-character decimal wavelength values for each sampling point are concatenated left to right for all sampling points in a row. Each subfield corresponds to one row of the map, in order from top to bottom. ","","","",""
"T","9/RWF:T","[09.313:T]","SET","2","","RWF","EFS Ridge Wavelength Map Format","D","","","","0","1","","","Set_T","","","","","","9/RWM:T","","","","","","","","","","","EFS ridge flow map format used for 9.312 for values other than the defaults.","","","","","","","","","","",""
"X","9/RWF:X","[09.313:X]","SET","2","","RWF","EFS Ridge Wavelength Map Format (XML)","D","","","","0","1","","","Set_X","","","","","","9/RWM:X","","","","","","","","","","","EFS ridge flow map format used for 9.312 for values other than the defaults.","","","biom:MinutiaeRidgeWavelengthMap","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeWavelengthMapType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeWavelengthMap","","","","",""
"TX","9/RWF/FWS","[09.313-A]","A","","","FWS","Sampling Frequency","M^","N","1","2","1","1","","","Data","","","{1..41}","","","","","","","","","","","","","Y","Permits setting the sampling frequency or data representation format used in Field 9.312: EFS ridge wavelength map / RWM to values other than the defaults, and is conditional on the presence of Field 9.312.","Default value is ""41"".","<biom:MinutiaeRidgeWavelengthMapSamplingFrequencyValue>2</biom:MinutiaeRidgeWavelengthMapSamplingFrequencyValue>","biom:MinutiaeRidgeWavelengthMapSamplingFrequencyValue","http://niem.gov/niem/biometrics/1.0","biom:MapSamplingFrequencyValueType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeWavelengthMap/biom:MinutiaeRidgeWavelengthMapSamplingFrequencyValue","","","","",""
"TX","9/RWF/FDF","[09.313-B]","B","","","FDF","Data Format","M^","A","3","3","1","1","","","Data","","","{""UNC""}","","","","","","","","","","","","","Y","Format (uncompressed or base-64) used in 9.312.","Default value is ""UNC"".","<biom:MinutiaeRidgeWavelengthMapFormatCode>UNC</biom:MinutiaeRidgeWavelengthMapFormatCode>","biom:MinutiaeRidgeWavelengthMapFormatCode","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeWavelengthMapFormatCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeWavelengthMap/biom:MinutiaeRidgeWavelengthMapFormatCode","","","","",""
"TX","9/TRV","[09.314]","","","","TRV","EFS Tonal Reversal","D","A","1","1","0","1","","","Data","TRV","","","","","9/ROI","","","","","","","","","","","Indicates whether all or part of an EFS image is tonally reversed. If no part of the image is tonally reversed, field is omitted.","","<biom:FrictionRidgeImageTonalReversalCode>N</biom:FrictionRidgeImageTonalReversalCode>","biom:FrictionRidgeImageTonalReversalCode","http://niem.gov/niem/biometrics/1.0","biom:FrictionRidgeImageTonalReversalCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageTonalReversalCode","","","","",""
"TX","9/PLR","[09.315]","","","","PLR","EFS Possible Lateral Reversal","D","A","1","1","0","1","","","Data","PLR","","","","","9/ROI","","","","","","","","","","","Indicates whether the image is or may be laterally reversed (flipped left-right). If image was not reversed, field is omitted.","","<biom:FrictionRidgeImageLateralReversalCode>A</biom:FrictionRidgeImageLateralReversalCode>","biom:FrictionRidgeImageLateralReversalCode","http://niem.gov/niem/biometrics/1.0","biom:FrictionRidgeImageLateralReversalCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageLateralReversalCode","","","","",""
"TX","9/FQM","[09.316]","SET","3","","FQM","EFS Friction Ridge Quality Metric","D","","","","0","9","","","Set","","","","","","9/ROI","","","","","","","","","","","Specifies one or more different metrics of EFS friction ridge quality for image.","","","biom:ImageQuality","http://niem.gov/niem/biometrics/1.0","biom:ImageQualityType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:ImageQuality","","","","",""
"TX","9/FQM/QVU","[09.316-A]","A","","","QVU","Quality Value","M^","N","1","3","1","1","","","Data","QVU","Opt","{0..100,254,255}","","","","","","","","","","","","","","Quantitative expression of predicted matching performance of biometric sample. This information item shall contain the integer image quality score between 0 and 100 (inclusive) assigned to the image data by a quality algorithm. Higher values indicate better quality.","","<biom:QualityValue>100</biom:QualityValue>","biom:QualityValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:ImageQuality/biom:QualityValue","","","","",""
"TX","9/FQM/QAV","[09.316-B]","B","","","QAV","Algorithm Vendor Identification","M^","H","4","4","1","1","","","Data","","","","","","","","","","","","","","","","","ID of the vendor of the quality algorithm used to calculate the quality score. This value is assigned by IBIA, which maintains the Vendor Registry of CBEFF Biometric Organizations that map the value in this field to a registered organization.","","<nc:IdentificationID>FFF0</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:ImageQuality/biom:QualityAlgorithmVendorIdentification/nc:IdentificationID","","","","",""
"TX","9/FQM/QAP","[09.316-C]","C","","","QAP","Algorithm Product Identification","M^","N","1","5","1","1","","","Data","","","{1..65535}","","","","","","","","","","","","","","Numeric product code assigned by the vendor of the quality algorithm (may be registered with the IBIA, but registration is not required).","","<nc:IdentificationID>28495</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:ImageQuality/biom:QualityAlgorithmProductIdentification/nc:IdentificationID","","","","",""
"TX","9/PGS","[09.317]","SET","2","","PGS","EFS Possible Growth or Shrinkage","D","","","","0","1","","","Set","","","","","","9/ROI","","","","","","","","","","","For EFS friction ridge impressions that have changed size or scale (e.g., swollen skin from water exposure). This field acts as a flag to indicate that greater than ordinary dimensional variation should be expected in performing subsequent comparisons.","","","biom:MinutiaeGrowthOrShrinkage","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeGrowthOrShrinkageType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeGrowthOrShrinkage","","","","",""
"TX","9/PGS/TGS","[09.317-A]","A","","","TGS","Growth or Shrinkage Type","M^","A","1","1","1","1","","","Data","PGS/TGS","","","","","","","","","","","","","","","","Code for type of growth or shrinkage.","","<biom:MinutiaeGrowthOrShrinkageCode>G</biom:MinutiaeGrowthOrShrinkageCode>","biom:MinutiaeGrowthOrShrinkageCode","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeGrowthOrShrinkageCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeGrowthOrShrinkage/biom:MinutiaeGrowthOrShrinkageCode","","","","",""
"T","9/PGS/CGS:T","[09.317-B:T]","B","","","CGS","Growth or Shrinkage Comment","M^","U","1","1000","1","1","","","Data_T","","","","","","","","","","","","","","","","","Rationale for believing growth or shrinkage may have occurred.","","","","","","","","","","",""
"X","9/PGS/CGS:X","[09.317-B:X]","B","","","CGS","Growth or Shrinkage Comment (XML)","O^","U","1","1000","0","1","","","Data_X","","","","","","","","","","","","","","","","","Rationale for believing growth or shrinkage may have occurred.","","","biom:MinutiaeCommentText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeGrowthOrShrinkage/biom:MinutiaeCommentText","","","","",""
"T","9/COR:T","[09.320:T]","SET","5","","COR","EFS Cores","D","","","","0","*","","","Set_T","","","","","","","9/NCOR:T","","","","","","","","","Y","EFS core information. When no cores are present, this field shall not be used.","If palm/plantar 9/FPP/FGP>=18, MaxOccur=*; if 9/PAT/SUB=""AW"", MaxOccur=*; if 9/PAT/SUB=""PA"", MaxOccur=0; if 9/PAT/SUB=""TA"", MaxOccur=1; if 9/PAT/GCF=""LS"" or ""RS"", MaxOccur=1; if 9/PAT/GCF=""WU"", MaxOccur=2. ","","","","","","","","","",""
"X","9/COR:X","[09.320:X]","SET","5","","COR","EFS Cores  (XML)","D","","","","0","*","","","Set_X","","","","","","","9/NCOR:X","","","","","","","","","Y","EFS core information. When no cores are present, this field shall not be used.","If palm/plantar 9/FPP/FGP>=18, MaxOccur=*; if 9/PAT/SUB=""AW"", MaxOccur=*; if 9/PAT/SUB=""PA"", MaxOccur=0; if 9/PAT/SUB=""TA"", MaxOccur=1; if 9/PAT/GCF=""LS"" or ""RS"", MaxOccur=1; if 9/PAT/GCF=""WU"", MaxOccur=2. ","","biom:MinutiaeCore","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeCoreType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore","","","","",""
"TX","9/COR/CXC","[09.320-A]","A","","","CXC","X Coordinate","M^","N","1","5","1","1","","","Data","","","","","","","","","","","","","","<[9/ROI/EWI]","","","X coordinate of core (integer units of 10 micrometers).","","<biom:ImageLocationHorizontalCoordinateMeasure>4970</biom:ImageLocationHorizontalCoordinateMeasure>","biom:ImageLocationHorizontalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore/biom:ImageLocationHorizontalCoordinateMeasure","","","","",""
"TX","9/COR/CYC","[09.320-B]","B","","","CYC","Y Coordinate","M^","N","1","5","1","1","","","Data","","","","","","","","","","","","","","<[9/ROI/EHI]","","","Y coordinate of core (integer units of 10 micrometers).","","<biom:ImageLocationVerticalCoordinateMeasure>4970</biom:ImageLocationVerticalCoordinateMeasure>","biom:ImageLocationVerticalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore/biom:ImageLocationVerticalCoordinateMeasure","","","","",""
"TX","9/COR/CDI","[09.320-C]","C","","","CDI","Direction","O^","NS","1","4","0","1","[-]","","Data","","","{-179..180}","","","","","","","","","","","","","","Average tangent direction of two closest friction ridges. The direction shall be omitted for circular whorls, or if the direction is unknown.","","<biom:MinutiaeCoreDirectionMeasure>110</biom:MinutiaeCoreDirectionMeasure>","biom:MinutiaeCoreDirectionMeasure","http://niem.gov/niem/biometrics/1.0","biom:DirectionMeasureType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore/biom:MinutiaeCoreDirectionMeasure","","","","",""
"TX","9/COR/RPU","[09.320-D]","D","","","RPU","Radius of Position Uncertainty","O^","N","1","3","0","1","","","Data","","","{0..999}","","","","","","","","","","","","","","Radius of a circle sized to include the area of possible locations of the core; used if the precise location cannot be determined (such as due to poor clarity). If the core location is known precisely, the radius of position uncertainty may be omitted or set to 0.","","<biom:ImageLocationUncertaintyRadiusMeasure>80</biom:ImageLocationUncertaintyRadiusMeasure>","biom:ImageLocationUncertaintyRadiusMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore/biom:ImageLocationUncertaintyRadiusMeasure","","","","",""
"TX","9/COR/DUY","[09.320-E]","E","","","DUY","Direction Uncertainty","O^","N","1","3","0","1","","","Data","ANGLE","Opt","{0..180}","","","","","","","","","","","","","","Uncertainty of direction of the core (""0"" = indicates certain direction; ""180"" = unknown orientation).","","<biom:MinutiaeCoreDirectionUncertaintyValue>75</biom:MinutiaeCoreDirectionUncertaintyValue>","biom:MinutiaeCoreDirectionUncertaintyValue","http://niem.gov/niem/biometrics/1.0","biom:UncertaintyValueType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeCore/biom:MinutiaeCoreDirectionUncertaintyValue","","","","",""
"T","9/DEL:T","[09.321:T]","SET","10","","DEL","EFS Deltas","D","","","","0","*","","","Set_T","","","","","","","9/NDEL:T","","","","","","","","","Y","EFS delta information.","If palm/plantar 9/FPP/FGP>=18, MaxOccur=*. Otherwise, if 9/PAT/SUB=""AW"", MaxOccur=*; if 9/PAT/SUB=""PA"", MaxOccur=0; if 9/PAT/SUB=""TA"", MaxOccur=1; if 9/PAT/GCF=""LS"" or ""RS"", MaxOccur=1; if 9/PAT/GCF=""WU"", MaxOccur=2. ","","","","","","For fingerprints, one or more deltas are defined for all pattern classifications other than plain arches. For palm prints or other non-fingerprint friction ridge images, any number of delta-like patterns may be defined using this field if such structures are present.","","","",""
"X","9/DEL:X","[09.321:X]","SET","10","","DEL","EFS Deltas (XML)","D","","","","0","*","","","Set_X","","","","","","","9/NDEL:X","","","","","","","","","Y","EFS delta information.","If palm/plantar 9/FPP/FGP>=18, MaxOccur=*. Otherwise, if 9/PAT/SUB=""AW"", MaxOccur=*; if 9/PAT/SUB=""PA"", MaxOccur=0; if 9/PAT/SUB=""TA"", MaxOccur=1; if 9/PAT/GCF=""LS"" or ""RS"", MaxOccur=1; if 9/PAT/GCF=""WU"", MaxOccur=2. ","","biom:MinutiaeDelta","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeDeltaType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeDelta","For fingerprints, one or more deltas are defined for all pattern classifications other than plain arches. For palm prints or other non-fingerprint friction ridge images, any number of delta-like patterns may be defined using this field if such structures are present.","","","",""
"TX","9/DEL/DXC","[09.321-A]","A","","","DXC","X Coordinate","M^","N","1","5","1","1","","","Data","","","","","","","","","","","","","","<[9/ROI/EWI]","","","X coordinate of delta (units of 10 micrometers).","","","biom:ImageLocationHorizontalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeDelta/biom:ImageLocationHorizontalCoordinateMeasure","","","","",""
"TX","9/DEL/DYC","[09.321-B]","B","","","DYC","Y Coordinate","M^","N","1","5","1","1","","","Data","","","","","","","","","","","","","","<[9/ROI/EHI]","","","Y coordinate of delta (units of 10 micrometers).","","<biom:ImageLocationVerticalCoordinateMeasure>49700</biom:ImageLocationVerticalCoordinateMeasure>","biom:ImageLocationVerticalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeDelta/biom:ImageLocationVerticalCoordinateMeasure","","","","",""
"TX","9/DEL/DUP","[09.321-C]","C","","","DUP","Direction Up","O^","N","1","3","0","1","","","Data","","","{0..180}","","","","","","","","","","","","","","Direction up of delta in degrees from right (degrees counterclockwise from the right).","","<biom:MinutiaeDeltaDirectionUpMeasure>49700</biom:MinutiaeDeltaDirectionUpMeasure>","biom:MinutiaeDeltaDirectionUpMeasure","http://niem.gov/niem/biometrics/1.0","biom:DeltaDirectionMeasureType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeDelta/biom:MinutiaeDeltaDirectionUpMeasure","Information item is allowed to be omitted (left empty).","","","",""
"TX","9/DEL/DLF","[09.321-D]","D","","","DLF","Direction Left","O^","N","1","3","0","1","","","Data","","","{0..180}","","","","","","","","","","","","","","Direction left of delta in degrees from right (degrees counterclockwise from the right).","","<biom:MinutiaeDeltaDirectionLeftMeasure>100</biom:MinutiaeDeltaDirectionLeftMeasure>","biom:MinutiaeDeltaDirectionLeftMeasure","http://niem.gov/niem/biometrics/1.0","biom:DeltaDirectionMeasureType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeDelta/biom:MinutiaeDeltaDirectionLeftMeasure","Information item is allowed to be omitted (left empty).","","","",""
